AREA_NAME,CLASSIFICATION,stop_count,area_km2,stops_per_km2
Avondale,Not an NIA or Emerging Neighbourhood,8,1.031682442558989,7.754324072974209
North Toronto,Not an NIA or Emerging Neighbourhood,11,0.4020307814135527,27.36108902239689
Yonge-Doris,Not an NIA or Emerging Neighbourhood,12,0.4717170376293408,25.438979393890776
Harbourfront-CityPlace,Not an NIA or Emerging Neighbourhood,15,1.1383341030333702,13.177150680128817
North St.James Town,Not an NIA or Emerging Neighbourhood,15,0.4239225873465918,35.383818762495565
Yonge-St.Clair,Not an NIA or Emerging Neighbourhood,18,1.161370595513638,15.498928653380588
Humewood-Cedarvale,Not an NIA or Emerging Neighbourhood,18,1.871170086133485,9.619649295053941
Regent Park,Neighbourhood Improvement Area,19,0.6502770101110579,29.21831727797831
Blake-Jones,Not an NIA or Emerging Neighbourhood,19,0.94120923247521,20.18679730757999
Long Branch,Not an NIA or Emerging Neighbourhood,19,2.2619136433980143,8.399967017068253
Church-Wellesley,Not an NIA or Emerging Neighbourhood,20,0.5561852552094524,35.959241660349754
Lambton Baby Point,Not an NIA or Emerging Neighbourhood,21,1.7821602474969769,11.783452149992826
Maple Leaf,Not an NIA or Emerging Neighbourhood,21,2.5264952184184617,8.311909655283497
Rustic,Neighbourhood Improvement Area,23,2.0963782068942085,10.971302756516716
South Eglinton-Davisville,Not an NIA or Emerging Neighbourhood,23,0.9443090400744156,24.356433142043734
Weston-Pelham Park,Neighbourhood Improvement Area,24,1.4558889200387315,16.48477412642272
Cabbagetown-South St.James Town,Not an NIA or Emerging Neighbourhood,24,1.4179185641195997,16.926218900943613
Downtown Yonge East,Not an NIA or Emerging Neighbourhood,26,0.8085312111667559,32.15707648747479
Wellington Place,Not an NIA or Emerging Neighbourhood,26,0.9796390250673985,26.540388178401955
Little Portugal,Not an NIA or Emerging Neighbourhood,26,1.2163333463178112,21.37571914698338
Playter Estates-Danforth,Not an NIA or Emerging Neighbourhood,26,0.8875884871424988,29.292854038366773
Guildwood,Not an NIA or Emerging Neighbourhood,26,3.8060757260749836,6.83118305342088
West Queen West,Not an NIA or Emerging Neighbourhood,28,0.9017484990064231,31.050786367652783
Ionview,Neighbourhood Improvement Area,28,1.9528963295411141,14.337678645020219
Fort York-Liberty Village,Not an NIA or Emerging Neighbourhood,28,2.339540387068571,11.968162701856077
Markland Wood,Not an NIA or Emerging Neighbourhood,28,2.9539295791022857,9.478898954832005
Humber Bay Shores,Not an NIA or Emerging Neighbourhood,28,1.5781185098512276,17.74264722529591
Elms-Old Rexdale,Neighbourhood Improvement Area,29,2.9310769593096144,9.89397426358626
Etobicoke West Mall,Not an NIA or Emerging Neighbourhood,29,1.7964062149886975,16.14334205595167
Woodbine Corridor,Not an NIA or Emerging Neighbourhood,29,1.5956643021416148,18.17424878220172
Dufferin Grove,Not an NIA or Emerging Neighbourhood,29,1.3879292015181282,20.894437532029418
Taylor-Massey,Neighbourhood Improvement Area,30,1.0628865352685568,28.225025912497777
Scarborough Village,Neighbourhood Improvement Area,30,3.151549030170487,9.519128439000395
Casa Loma,Not an NIA or Emerging Neighbourhood,31,1.922411805506388,16.125577210463604
